Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,AMD,E2-2000 APU (2012 M.Za),1258,27.7,841,https://cpu.userbenchmark.com/SpeedTest/10908/AMD-E2-2000-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Atom x5-Z8500,1259,27.7,759,https://cpu.userbenchmark.com/SpeedTest/38612/IntelR-AtomTM-x5-Z8500--CPU---144GHz
CPU,,AMD,E2-9000e APU (2016 M.SR),1260,27.7,2903,https://cpu.userbenchmark.com/SpeedTest/321458/AMD-E2-9000e-RADEON-R2-4-COMPUTE-CORES-2C-2G
CPU,,AMD,Athlon 64 X2 Dual Core TK-53,1261,27.6,132,https://cpu.userbenchmark.com/SpeedTest/9182/AMD-Athlontm-64-X2-Dual-Core-Processor-TK-53
CPU,,Intel,Atom D2700,1262,27.5,220,https://cpu.userbenchmark.com/SpeedTest/7623/IntelR-AtomTM-CPU-D2700-----213GHz
CPU,,AMD,Sempron 3000+,1263,27.2,263,https://cpu.userbenchmark.com/SpeedTest/3648/AMD-Semprontm-Processor-3000-
CPU,,AMD,E-450 APU,1264,27.1,8338,https://cpu.userbenchmark.com/SpeedTest/2189/AMD-E-450-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Atom N2800,1265,27.1,407,https://cpu.userbenchmark.com/SpeedTest/8985/IntelR-AtomTM-CPU-N2800-----186GHz
CPU,,AMD,Sempron 2800+,1266,27,153,https://cpu.userbenchmark.com/SpeedTest/4755/AMD-Semprontm-Processor-2800-
CPU,,Intel,Celeron 723,1267,26.8,47,https://cpu.userbenchmark.com/SpeedTest/10153/IntelR-CeleronR-CPU----------723----120GHz
CPU,,Intel,Pentium D 2.66GHz,1268,26.7,377,https://cpu.userbenchmark.com/SpeedTest/4781/-------------IntelR-PentiumR-D--CPU-266GHz
CPU,EM1800GBB22GV,AMD,E2-1800 APU (2012 M.Za),1269,26.5,3896,https://cpu.userbenchmark.com/SpeedTest/839/AMD-E2-1800-APU-with-Radeontm-HD-Graphics
CPU,,AMD,E-350,1270,26.4,5907,https://cpu.userbenchmark.com/SpeedTest/5356/AMD-E-350-Processor
CPU,,AMD,Athlon Neo MV-40,1271,26.1,192,https://cpu.userbenchmark.com/SpeedTest/12003/AMD-Athlontm-Neo-Processor-MV-40
CPU,,AMD,Athlon 2650e,1272,26,142,https://cpu.userbenchmark.com/SpeedTest/4742/AMD-Athlontm-Processor-2650e
CPU,,Intel,Pentium 4 2.60GHz,1273,25.9,82,https://cpu.userbenchmark.com/SpeedTest/5254/--------------IntelR-PentiumR-4-CPU-260GHz
CPU,,Intel,Celeron J3355,1274,25.9,813,https://cpu.userbenchmark.com/SpeedTest/247225/IntelR-CeleronR-CPU-J3355---200GHz
CPU,,Intel,Pentium 4 2.93GHz,1275,25.9,128,https://cpu.userbenchmark.com/SpeedTest/4199/--------------IntelR-PentiumR-4-CPU-293GHz
CPU,,Intel,Pentium M processor 1.60GHz,1276,25.7,150,https://cpu.userbenchmark.com/SpeedTest/4076/--------IntelR-PentiumR-M-processor-160GHz
